supabase_id,name,city,state,address,website,phone,lat,lng,google_place_id,google_rating,google_review_count,provider_type,is_claimed,tier,source,legitimacy,legitimacy_score,legitimacy_source
,Barba Skin Clinic,Miami,FL,,https://www.barbaskinclinic.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,CG Cosmetic Surgery,Miami,FL,,https://cgcosmetic.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"David Robles, MD, PhD Oak Tree Dermatology",Pomona,CA,,https://oaktreedermatology.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Vail-Summit Orthopaedics & Neurosurgery,Vail,CO,,http://www.vsortho.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Germantown Oral & Facial Surgery Center,Germantown,MD,,http://www.germantownoralsurgery.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,NuWave Medical,,,,https://nuwaveny.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Palmetto Family and Cosmetic Dentistry,,,,http://www.palmettofamilydentistry.com,,,,,,,Health & Medical,False,free,yelp,not_spa,-15,scraped_website
,Affiliated Dermatologists,,,,https://affiliatedderm.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Facials & Skincare by Debbie,Orange,CA,,https://facialsbydebbie.com,,33.640302,-117.769442,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,HBOT Now,,,,http://www.hbotnow.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Crystal Lake, IL",,,,https://forefrontdermatology.com/location/crystal-lake-il-60014/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Rockhouse Dentistry,,,,https://www.rockhousedentistry.com,,,,,,,Health & Medical,False,free,yelp,not_spa,-10,scraped_website
,Trahan ENT and Aesthetics,,,,http://www.trahanent.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Aesthetic Plastic Surgery North Shore,,,,http://www.plasticsurgerynorth.com/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Light Lounge,,,,https://lightlounge.life/holland,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Light Lounge St Charles MO,,,,https://lightlounge.life/st-charles,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Media Family Dentistry,,,,http://www.MediaFamilyDentistry.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Shih-yu Chou, Arnp",Bellevue,NE,,https://www.medicalartsps.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Lucia Lash/Brow,Stamford,CT,,http://www.lucialashandbrow.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Lotus Healthcare and Aesthetics,,,,http://lotustotalcare.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Oral & MaxilloFacial Surgery,,,,https://www.kytnoralsurgery.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Studio 21 Salon and Spa,,,,http://www.studio21spa.com,,,,,,,Beauty & Spas,False,free,yelp,not_spa,-10,scraped_website
,Liquid Gold IV Bar,,,,http://www.liquidgoldivbar.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,R&N Wellness Lounge,Bangor,ME,,https://rnwellnesslounge.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Advanced Skincare Northborough,,,,http://northboroughskincare.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,"Ryan E Dodde II, MD - Plastic Surgery Arts",,,,http://www.drdodde.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Angela M Schuck, DDS",,,,http://www.mankatodentist.com/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,SQIN MED,,,,https://sqinmed.ca,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Summit Natural Wellness Spa,Akron,OH,,http://snwcenter.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Valley Integrated Urgent Care & Wellness,,,,http://valleyucare.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Bellissimo Salon & Spa,,,,http://www.bellissimofriendswood.com,,,,,,,Health & Medical,False,free,yelp,not_spa,-10,scraped_website
,Midessa Oral & Facial Surgery,Odessa,TX,,https://www.midessaofs.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Oshkosh, WI",,,,https://forefrontdermatology.com/location/oshkosh-wi-54904/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Legendary Family Healthcare,,,,http://Www.legendarytotalwellness.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Nu'Visionz Beauty & Wellness Lounge,Hayward,CA,,http://www.nvbeautylounge.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Aesthetic Eye Care,,,,http://www.aestheticeyeslo.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Sinkor Beauty Salon,Middletown,NJ,,http://sinkorsalon.com,,,,,,,Beauty & Spas,False,free,yelp,not_spa,-20,scraped_website
,"ReGenesis Plastic Surgery, Dermatology & Spa - Montrose",,,,http://regenesisplasticsurgery.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,MidState Skin Institute- Jasmine,Ocala,FL,,http://midstateskin.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,AH Laser Aesthetics,,,,http://www.ahlaseraesthetics.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Heartland Dermatology - Dodge City,,,,https://heartland-derm.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Current Dermatology and Cosmetic Center,Annapolis,MD,,https://www.currentderm.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Valentina Day Spa,,,,http://valentinadayspa.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Wentzville, MO",,,,https://forefrontdermatology.com/location/wentzville-mo-63385/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,LifeRx.md,Cherry Hill,NJ,,https://liferx.md,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,NJ ENT and Facial Plastic Surgery,,,,https://njent.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Kurt R Kwiatkowski, D.D.S. S.C",,,,http://thefutureofdentistry.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,facial collective,Madison,WI,,https://facialcollective.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Colorado Beauty RN,Castle Rock,CO,,https://coloradobeautyrn.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Fry Luther L MD,Garden City,NY,,http://www.fryeye.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,The Covery Wellness - Woburn,,,,https://www.thecovery.com/locations/woburn-ma,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,GymFIT Physical Therapy & Wellness,,,,http://www.gymfitpt.com,,,,,,,Health & Medical,False,free,yelp,not_spa,-10,scraped_website
,Saadat Beauty House,Wellesley,MA,,https://saadatbeautyhouse.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Anne Arundel Dermatology - Greenbelt,,,,https://aadermatology.com/locations/anne-arundel-greenbelt/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,YMK Aesthetics,Morristown,NJ,,http://www.ymkaesthetics.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Alternative Wellness Center,Albuquerque,NM,,http://www.alternativewellnesscenter.org,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Michelle Powell Skin Care,,,,http://www.michellepowellskincare.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Belleza Colombiana,,,,https://bellezacolombianaspa.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Valerie Vick, MD",Mobile,AL,,http://www.valerievick.com/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Supreme Beauty Life,Irvine,CA,,https://www.supremebeautylife.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Northpoint Aesthetics,,,,http://www.northpointaesthetics.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,St Augustine Oral & Facial Surgical Center,,,,http://www.floridafacedoc.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,The Nest Day Spa & Aesthetic Center,,,,https://www.thenestdayspa.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,St. Francis Urgent Care,Monroe,LA,,http://stfrancisurgentcare.net,,32.58478,-91.969247,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Market Sandwich,,,,https://www.wholefoodsmarket.com/eateries/market-sandwich-menu,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Messenger Dermatology,Lansing,MI,,https://messengerdermatology.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Plymouth, MI",Plymouth,MN,,https://forefrontdermatology.com/location/plymouth-mi-48170/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Mark H Craig, MD- Accent Plastic & Reconstructive Surgery",Tupelo,MS,,https://www.drmarkcraig.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Aesthetics by Diana Simonian,,,,https://thehudsonvalleyfacialist.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Face & Eye Plastic Surgery,Eugene,OR,,http://www.faceandeye.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Divine Glow Aesthetic,Mclean,VA,,http://divineglowaesthetic.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Manitowoc, WI",,,,https://forefrontdermatology.com/location/manitowoc-wi-54220/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Howard Hines, MD, FAAD",,,,https://forefrontdermatology.com/provider/howard-hines-md-faad/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Precision Skin & Body Institute,Davie,FL,,http://www.precisionskininstitute.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Intoxify Beauty Bar,Norwalk,CT,,https://www.intoxifybeautybar.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Eyeland Wellness,Kailua Kona,HI,,https://www.eyelandwellness.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Mooresville, IN",,,,https://forefrontdermatology.com/location/mooresville-in-46158/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Ottumwa, IA",,,,https://forefrontdermatology.com/location/ottumwa-ia-52501/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Anne Arundel Dermatology - Glen Burnie,,,,https://aadermatology.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology East Lansing, MI",Lansing,MI,,https://forefrontdermatology.com/location/east-lansing-mi-48823/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Foremost Dermatology,Grand Rapids,MI,,https://forefrontdermatology.com/location/grand-rapids-mi-49546/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Robert Korenberg, MD",Missoula,MT,,https://forefrontdermatology.com/location/missoula-montana/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Renown Dermatology, Laser & Skin Care",Reno,NV,,https://www.renown.org/locations/specialists/dermatology-laser-skin-care/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Tulsa Skin Center,Tulsa,OK,,http://www.tulsaskincenter.com/,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Vanishing Veins Ohio,Lancaster,PA,,http://vvohio.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Cos Bar Charleston,Charleston,WV,,http://www.cosbar.com/,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,King Spa,,,,https://virginia.kingspa.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Robert J Chiu, MD - Today's Cosmetic Surgery",Pittsburgh,PA,,https://todayscosmeticsurgery.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Racine, WI",Racine,WI,,https://forefrontdermatology.com/location/racine-wisconsin/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Green Bay, WI - Riverview Drive",Green Bay,WI,,https://forefrontdermatology.com/location/green-bay-wisconsin/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Heartland Dermatology - Newton,Newton,MA,,http://heartland-derm.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Hans Wiemann,St Louis,MO,,https://www.hairclub.com/hans/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Menomonee Falls, WI",,,,https://forefrontdermatology.com/location/menomonee-falls-wi-53051/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Anne Arundel Dermatology - Westminster,Westminster,CO,,https://aadermatology.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Franklin, WI",Franklin,TN,,https://forefrontdermatology.com/location/franklin-wi-53132,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Clinton Township, MI",,,,https://forefrontdermatology.com/location/clinton-township-mi-48038/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Anne Arundel Dermatology - Fairfax,,,,https://aadermatology.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Wildwood, MO",,,,https://forefrontdermatology.com/location/wildwood-mo-63040/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Elizabeth Damstetter, MD",,,,https://forefrontdermatology.com/location/berwyn-il/,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Tideway Dermatology - Bel Air,,,,https://aadermatology.com/locations/tideway-bel-air/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Anne Arundel Dermatology - Hagerstown,,,,https://aadermatology.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Jamie S. Chin, MD, FAAD",,,,https://forefrontdermatology.com/provider/jamie-s-chin-md,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Forefront Dermatology - Wilmette,,,,https://forefrontdermatology.com/location/wilmette-il-60091/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Forefront Dermatology - Kalamazoo,Kalamazoo,MI,,https://forefrontdermatology.com/location/kalamazoo-michigan/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
